sep=;
id;title_ru;description_ru;difficulty
1;Подсчёт слов без запрещённых букв;"Дана строка text, состоящая из слов, разделённых пробелами, и строка broken с набором запрещённых букв. Слово считается допустимым, если в нём нет ни одной буквы из broken. Требуется посчитать количество таких слов. Формат ввода задаётся отдельно в системе тестирования (все параметры передаются в одной строке через точку с запятой, в фиксированном порядке). Формат вывода: выведите одно целое число — количество допустимых слов.";Easy
2;Сумма положительных чисел;"Дано целое число n и последовательность из n целых чисел. Требуется найти сумму всех положительных элементов. Если положительных чисел нет, ответ равен 0. Формат ввода задаётся отдельно в системе тестирования. Формат вывода: выведите одно целое число — сумму всех положительных элементов.";Easy
3;Количество различных целых чисел;"Дано целое число n и последовательность из n целых чисел. Требуется определить, сколько различных значений встречается в последовательности (размер множества значений). Формат ввода задаётся отдельно в системе тестирования. Формат вывода: выведите одно целое число — количество различных значений.";Easy
4;Индексы двух чисел (Two Sum);"Дано целое число n, последовательность из n целых чисел и целое число target. Требуется найти два различных индекса i и j, такие что a_i + a_j = target. Гарантируется, что ровно одно решение существует. Порядок индексов в ответе не важен. Формат ввода задаётся отдельно в системе тестирования. Формат вывода: ответом является один список из двух чисел; сначала выведите целое k = 2, затем два индекса через пробел.";Easy
5;Проверка строки на палиндром;"Дана строка s, содержащая буквы, цифры и возможные другие символы. Нужно оставить только буквенно-цифровые символы, привести их к одному регистру и проверить, является ли полученная строка палиндромом. Формат ввода задаётся отдельно в системе тестирования. Формат вывода: выведите YES, если строка является палиндромом, и NO — в противном случае.";Easy
6;Максимальный элемент последовательности;"Дано целое число n и последовательность из n целых чисел. Требуется найти максимальный элемент этой последовательности. Формат ввода задаётся отдельно в системе тестирования. Формат вывода: выведите одно целое число — максимальный элемент.";Easy
7;Количество гласных в строке;"Дана строка s из строчных английских букв. Необходимо посчитать количество гласных букв (a, e, i, o, u). Формат ввода задаётся отдельно в системе тестирования. Формат вывода: выведите одно целое число — количество гласных.";Easy
8;Удаление дубликатов из отсортированной последовательности;"Дана отсортированная по неубыванию последовательность из n целых чисел. Нужно логически «сжать» её, убрав дубликаты так, чтобы каждый уникальный элемент встречался не более одного раза. Требуется вернуть новую длину последовательности (количество уникальных элементов). Формат ввода задаётся отдельно в системе тестирования. Формат вывода: выведите одно целое число — количество уникальных элементов.";Easy
9;Проверка на анаграмму;"Даны две строки s и t. Строка t является анаграммой s, если они содержат одни и те же символы с одинаковой кратностью, в любом порядке. Требуется определить, является ли t анаграммой s. Формат ввода задаётся отдельно в системе тестирования. Формат вывода: выведите YES, если t является анаграммой s, иначе выведите NO.";Easy
10;Слияние двух отсортированных последовательностей;"Даны две отсортированные по неубыванию последовательности целых чисел. Требуется объединить их в одну отсортированную по неубыванию последовательность. Формат ввода задаётся отдельно в системе тестирования. Формат вывода: ответом является один список; сначала выведите целое число k — длину объединённой последовательности, затем k элементов через пробел.";Easy
11;Элемент-большинство;"Дано целое число n и последовательность из n целых чисел. Гарантируется, что существует элемент, который встречается строго более n/2 раз. Требуется найти значение этого элемента. Формат ввода задаётся отдельно в системе тестирования. Формат вывода: выведите одно целое число — значение элемента-большинства.";Easy
12;Пересечение двух наборов чисел;"Даны две последовательности целых чисел, возможно с повторами. Нужно найти все значения, которые встречаются хотя бы по одному разу в обеих последовательностях, и вернуть уникальные элементы пересечения в любом порядке. Формат ввода задаётся отдельно в системе тестирования. Формат вывода: ответом является один список; сначала выведите целое число k — количество элементов в пересечении, затем k различных чисел через пробел.";Easy
13;Перемещение нулей в конец;"Дано целое число n и последовательность из n целых чисел. Требуется переставить элементы так, чтобы все нули оказались в конце, при этом относительный порядок ненулевых элементов сохранился. Формат ввода задаётся отдельно в системе тестирования. Формат вывода: ответом является один список длины n; сначала выведите целое число k = n, затем n элементов результирующей последовательности через пробел.";Easy
14;Первый уникальный символ;"Дана строка s. Нужно найти индекс первого символа, который встречается в строке ровно один раз. Если такого символа нет, необходимо вернуть -1. Индексация с нуля. Формат ввода задаётся отдельно в системе тестирования. Формат вывода: выведите одно целое число — индекс первого уникального символа или -1.";Easy
15;Проверка корректности скобочной последовательности;"Дана строка s, содержащая только символы '(', ')', '{', '}', '[' и ']'. Строка считается корректной, если каждая открывающая скобка имеет соответствующую закрывающую того же типа, и скобки закрываются в правильном порядке. Требуется проверить корректность последовательности. Формат ввода задаётся отдельно в системе тестирования. Формат вывода: выведите YES, если последовательность корректна, и NO — иначе.";Easy
16;Максимальное число сбалансированных подстрок;"Дана строка s, состоящая только из символов 'L' и 'R'. Подстрока называется сбалансированной, если в ней количество 'L' равно количеству 'R'. Требуется разбить строку на максимальное число непересекающихся сбалансированных подстрок и вернуть это число. Формат ввода задаётся отдельно в системе тестирования. Формат вывода: выведите одно целое число — максимальное количество сбалансированных подстрок.";Easy
17;Количество единиц в двоичном представлении чисел;"Дано целое число n (n ≥ 0). Для каждого i от 0 до n нужно посчитать количество единичных битов в двоичном представлении числа i. Формат ввода задаётся отдельно в системе тестирования. Формат вывода: ответом является один список длины n+1; сначала выведите целое число k = n+1, затем k целых чисел — количество единиц для каждого i от 0 до n в порядке возрастания i.";Easy
18;Хэммингово расстояние между двумя числами;"Даны два целых числа x и y. Хэммингово расстояние — это количество позиций битов, в которых двоичные представления x и y различаются. Требуется вычислить это расстояние. Формат ввода задаётся отдельно в системе тестирования. Формат вывода: выведите одно целое число — хэммингово расстояние.";Easy
19;Одинокое число;"Дано целое число n и последовательность из n целых чисел, где каждый элемент, кроме одного, встречается ровно два раза. Требуется найти число, которое встречается только один раз. Формат ввода задаётся отдельно в системе тестирования. Формат вывода: выведите одно целое число — значение элемента без пары.";Easy
